Heuristic gradient (G) set to 7.5e-05
Experiment name: linear-7.5e-05-#5
Loaded CIFAR10 dset
We're using CIFAR10 with LENET arch
Running heuristic based training
Rounds per epoch set to 3125
Total steps = 200×3125 = 625000
Parallelism = 64
Parallelism = 64
Parallelism = 63
Parallelism = 63
Parallelism = 62
Parallelism = 62
Parallelism = 61
Parallelism = 61
Parallelism = 60
Parallelism = 60
Parallelism = 60
Parallelism = 59
Parallelism = 59
Parallelism = 58
Parallelism = 58
Parallelism = 57
Parallelism = 57
Parallelism = 57
Parallelism = 56
Parallelism = 56
Parallelism = 55
Parallelism = 55
Parallelism = 55
Parallelism = 54
Parallelism = 54
Parallelism = 53
Parallelism = 53
Parallelism = 53
Parallelism = 52
Parallelism = 52
Parallelism = 51
Parallelism = 51
Parallelism = 51
Parallelism = 50
Parallelism = 50
Parallelism = 50
Parallelism = 49
Parallelism = 49
Parallelism = 48
Parallelism = 48
Parallelism = 48
Parallelism = 47
Parallelism = 47
Parallelism = 47
Parallelism = 46
Parallelism = 46
Parallelism = 46
Parallelism = 45
Parallelism = 45
Parallelism = 45
Parallelism = 44
Parallelism = 44
Parallelism = 44
Parallelism = 43
Parallelism = 43
Parallelism = 43
Parallelism = 42
Parallelism = 42
Parallelism = 42
Parallelism = 41
Parallelism = 41
Parallelism = 41
Parallelism = 41
Parallelism = 40
Parallelism = 40
Parallelism = 40
Parallelism = 39
Parallelism = 39
Parallelism = 39
Parallelism = 38
Parallelism = 38
Parallelism = 38
Parallelism = 38
Parallelism = 37
Parallelism = 37
Parallelism = 37
Parallelism = 37
Parallelism = 36
Parallelism = 36
Parallelism = 36
Parallelism = 35
Parallelism = 35
Parallelism = 35
Parallelism = 35
Parallelism = 34
Parallelism = 34
Parallelism = 34
Parallelism = 34
Parallelism = 33
Parallelism = 33
Parallelism = 33
Parallelism = 33
Parallelism = 32
Parallelism = 32
Parallelism = 32
Parallelism = 32
Parallelism = 31
Parallelism = 31
Parallelism = 31
Parallelism = 31
Parallelism = 31
Parallelism = 30
Parallelism = 30
Parallelism = 30
Parallelism = 30
Parallelism = 29
Parallelism = 29
Parallelism = 29
Parallelism = 29
Parallelism = 29
Parallelism = 28
Parallelism = 28
Parallelism = 28
Parallelism = 28
Parallelism = 27
Parallelism = 27
Parallelism = 27
Parallelism = 27
Parallelism = 27
Parallelism = 26
Parallelism = 26
Parallelism = 26
Parallelism = 26
Parallelism = 26
Parallelism = 25
Parallelism = 25
Parallelism = 25
Parallelism = 25
Parallelism = 25
Parallelism = 25
Parallelism = 24
Parallelism = 24
Parallelism = 24
Parallelism = 24
Parallelism = 24
Parallelism = 23
Parallelism = 23
Parallelism = 23
Parallelism = 23
Parallelism = 23
Parallelism = 23
Parallelism = 22
Parallelism = 22
Parallelism = 22
Parallelism = 22
Parallelism = 22
Parallelism = 22
Parallelism = 21
Parallelism = 21
Parallelism = 21
Parallelism = 21
Parallelism = 21
Parallelism = 21
Parallelism = 20
Parallelism = 20
Parallelism = 20
Parallelism = 20
Parallelism = 20
Parallelism = 20
Parallelism = 20
Parallelism = 19
Parallelism = 19
Parallelism = 19
Parallelism = 19
Parallelism = 19
Parallelism = 19
Parallelism = 19
Parallelism = 18
Parallelism = 18
Parallelism = 18
Parallelism = 18
Parallelism = 18
Parallelism = 18
Parallelism = 18
Parallelism = 17
Parallelism = 17
Parallelism = 17
Parallelism = 17
Parallelism = 17
Parallelism = 17
Training finished.
Saved as 05-04-2024_15-15-48_LENET_HEURISTIC_CIFAR10_linear-7.5e-05-#5.json
